City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fortuna,US,40.5982,-124.1573,49.66,89,90,1.99,overcast clouds
79,Kilindoni,TZ,-7.9139,39.6668,78.44,78,13,5.44,light rain
80,Cooma,AU,-36.2333,149.1333,73.17,46,0,11.5,clear sky
81,Chambery,FR,45.5667,5.9333,35.22,96,77,3.44,mist
82,Aklavik,CA,68.2191,-135.0107,-4.97,89,100,20.6,overcast clouds
83,Shahr-E Babak,IR,30.1165,55.1186,39.72,36,0,1.3,clear sky
84,Amurzet,RU,47.6967,131.0981,10.81,72,94,11.32,overcast clouds
85,Butaritari,KI,3.0707,172.7902,82.18,76,22,16.13,few clouds
86,Benton Harbor,US,42.1167,-86.4542,43.11,55,83,1.01,broken clouds
87,Hambantota,LK,6.1241,81.1185,79.14,100,75,9.22,broken clouds
88,Esperance,AU,-33.8667,121.9,69.64,44,84,9.44,broken clouds
89,New Norfolk,AU,-42.7826,147.0587,79.66,22,3,3.6,clear sky
90,Khandyga,RU,62.6667,135.6,-34.22,98,72,1.23,broken clouds
91,Tigil,RU,57.8,158.6667,19.24,89,100,11.12,overcast clouds
92,Lloret De Mar,ES,41.6999,2.8457,52.9,98,5,7.0,clear sky
93,Methoni,GR,36.8197,21.7049,51.22,69,67,21.45,broken clouds
94,Igarka,RU,67.4667,86.5833,-27.9,98,90,4.68,overcast clouds
95,Bara,NG,10.3744,10.7288,67.64,28,31,6.29,scattered clouds
96,Sibut,CF,5.718,19.0739,76.75,38,94,4.38,overcast clouds
97,Jalu,LY,29.0331,21.5482,51.6,83,0,6.53,clear sky
98,Praya,CV,14.9215,-23.5087,73.94,83,100,16.11,overcast clouds
99,Praia,CV,14.9215,-23.5087,73.94,83,100,16.11,overcast clouds
100,Jasper,US,37.2001,-94.3502,45.54,50,1,8.05,clear sky
101,Waitara,NZ,-38.925,174.25,73.72,91,100,4.03,moderate rain
102,Avarua,CK,-21.2078,-159.775,75.25,88,75,13.8,moderate rain
103,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,18.41,light snow
104,Atuona,PF,-9.8,-139.0333,79.07,79,51,17.85,light rain
105,Port Alfred,ZA,-33.5906,26.891,72.46,93,100,12.21,overcast clouds
106,Sioux Lookout,CA,50.1001,-91.917,32.38,86,90,6.91,overcast clouds
107,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,18.41,scattered clouds
108,Chalchihuites,MX,23.4833,-103.8833,53.44,42,9,5.39,clear sky
109,Carnarvon,AU,-24.8667,113.6333,78.87,57,1,19.57,clear sky
110,Manokwari,ID,-0.8667,134.0833,84.69,72,90,4.16,overcast clouds
111,Castro,BR,-24.7911,-50.0119,63.79,81,97,6.04,overcast clouds
112,Zadar,HR,44.1197,15.2422,36.21,64,0,4.61,clear sky
113,Vardo,NO,70.3705,31.1107,32.2,79,79,19.95,broken clouds
114,Olean,US,42.0776,-78.4297,37.98,59,1,10.36,clear sky
115,Narsaq,GL,60.9167,-46.05,16.02,75,96,2.51,overcast clouds
116,Boundiali,CI,9.5217,-6.4869,70.99,31,4,1.66,clear sky
117,Dingzhou,CN,38.5131,114.9956,33.91,31,0,5.21,clear sky
118,Codrington,AU,-38.2667,141.9667,68.25,61,100,20.96,light rain
119,Vestmannaeyjar,IS,63.4427,-20.2734,43.84,72,100,15.17,overcast clouds
120,Trelew,AR,-43.249,-65.3051,57.27,64,97,1.72,overcast clouds
121,Touros,BR,-5.1989,-35.4608,81.5,76,48,13.56,scattered clouds
122,Laguna,US,38.421,-121.4238,52.92,92,90,5.01,mist
123,Marawi,PH,7.9986,124.2928,75.65,65,100,4.41,overcast clouds
124,Lakes Entrance,AU,-37.8811,147.981,84.58,64,0,12.06,clear sky
125,Yumen,CN,40.2833,97.2,26.4,27,7,27.34,clear sky
126,Kismayo,SO,-0.3582,42.5454,80.24,79,86,11.21,light rain
127,Byron Bay,AU,-28.65,153.6167,80.71,65,82,11.61,broken clouds
128,Tazovskiy,RU,67.4667,78.7,-28.95,95,16,5.28,few clouds
129,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,13.8,light snow
130,Djambala,CG,-2.5447,14.7533,66.56,95,98,2.62,overcast clouds
