City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Constitucion,-35.3333,-72.4167,60.49,56,0,19.8,CL,2021-12-12 21:16:25
68,Axim,4.8699,-2.2405,80.22,84,65,7.45,GH,2021-12-12 21:18:38
69,Nowy Targ,49.4778,20.0323,28.6,92,96,2.8,PL,2021-12-12 21:18:39
70,Kapaa,22.0752,-159.319,79.48,71,20,3.0,US,2021-12-12 21:18:39
71,Talnakh,69.4865,88.3972,-20.79,87,98,0.72,RU,2021-12-12 21:18:40
72,Umm Kaddadah,13.6017,26.6876,72.34,28,14,11.1,SD,2021-12-12 21:18:40
73,Sterling,39.0062,-77.4286,51.31,34,1,3.0,US,2021-12-12 21:17:09
74,Barrow,71.2906,-156.7887,-11.18,70,20,14.97,US,2021-12-12 21:14:28
75,Rikitea,-23.1203,-134.9692,77.4,77,91,9.84,PF,2021-12-12 21:18:41
76,Leningradskiy,69.3833,178.4167,-31.95,91,3,4.05,RU,2021-12-12 21:18:41
77,Virginia Beach,36.8529,-75.978,50.22,41,1,1.99,US,2021-12-12 21:14:43
78,Puerto Quijarro,-17.7833,-57.7667,82.47,69,98,3.67,BO,2021-12-12 21:18:42
79,Coahuayana,18.7333,-103.6833,90.88,57,30,6.78,MX,2021-12-12 21:18:42
80,Korla,41.7597,86.1469,18.12,72,25,2.51,CN,2021-12-12 21:18:42
81,Hermanus,-34.4187,19.2345,64.9,85,72,10.16,ZA,2021-12-12 21:18:43
82,Hofn,64.2539,-15.2082,40.59,83,100,4.7,IS,2021-12-12 21:18:43
83,Geraldton,-28.7667,114.6,59.41,77,67,9.22,AU,2021-12-12 21:18:44
84,Ilulissat,69.2167,-51.1,19.42,68,90,3.44,GL,2021-12-12 21:13:44
85,Adrar,20.5022,-10.0711,69.62,15,34,10.63,MR,2021-12-12 21:18:45
86,Cheyenne,41.14,-104.8203,56.97,16,1,18.41,US,2021-12-12 21:18:45
87,Port Arthur,38.8,121.2667,19.62,43,4,15.08,CN,2021-12-12 21:18:45
88,Provideniya,64.3833,-173.3,-7.49,71,0,8.95,RU,2021-12-12 21:18:43
89,Mattru,7.6244,-11.8332,77.18,88,13,2.82,SL,2021-12-12 21:19:46
90,Bluff,-46.6,168.3333,59.81,72,31,2.37,NZ,2021-12-12 21:16:33
91,Luderitz,-26.6481,15.1594,62.55,83,3,12.19,NA,2021-12-12 21:19:46
92,Christchurch,-43.5333,172.6333,60.48,74,90,5.01,NZ,2021-12-12 21:16:58
93,Shirwal,18.1333,73.9833,70.12,62,61,4.59,IN,2021-12-12 21:19:47
94,Taoudenni,22.6783,-3.9836,70.09,14,75,12.44,ML,2021-12-12 21:19:47
95,Georgetown,5.4112,100.3354,79.9,82,20,2.3,MY,2021-12-12 21:18:37
96,Mataura,-46.1927,168.8643,59.49,58,78,0.69,NZ,2021-12-12 21:19:48
97,Sambava,-14.2667,50.1667,75.42,84,93,7.96,MG,2021-12-12 21:19:48
98,Yinchuan,38.4681,106.2731,24.66,35,0,4.56,CN,2021-12-12 21:19:48
99,Fortuna,40.5982,-124.1573,51.93,73,90,1.99,US,2021-12-12 21:16:11
100,Te Anau,-45.4167,167.7167,58.12,68,66,1.05,NZ,2021-12-12 21:19:49
101,Cabo San Lucas,22.8909,-109.9124,80.51,64,20,6.91,MX,2021-12-12 21:19:49
102,Nikolskoye,59.7035,30.7861,23.4,98,100,4.47,RU,2021-12-12 21:18:52
103,Haines Junction,60.7522,-137.5108,-5.85,54,99,4.61,CA,2021-12-12 21:19:50
104,San Cristobal,7.7669,-72.225,77.18,54,55,5.1,VE,2021-12-12 21:19:51
105,Tasiilaq,65.6145,-37.6368,39.36,72,100,20.13,GL,2021-12-12 21:19:51
106,Iztapa,13.9333,-90.7075,89.64,79,20,11.5,GT,2021-12-12 21:19:51
107,Guarapari,-20.6667,-40.4975,80.49,87,91,19.55,BR,2021-12-12 21:19:52
108,Bandiagara,14.3501,-3.6104,72.03,14,100,8.16,ML,2021-12-12 21:19:52
109,Clyde River,70.4692,-68.5914,-1.97,84,35,9.22,CA,2021-12-12 21:19:52
110,Sur,22.5667,59.5289,70.86,61,0,5.14,OM,2021-12-12 21:19:53
111,Ambilobe,-13.2,49.05,74.1,77,11,3.42,MG,2021-12-12 21:19:53
112,Ikeda,34.8221,135.4298,51.51,86,40,14.97,JP,2021-12-12 21:19:53
113,Yar-Sale,66.8333,70.8333,-14.15,99,85,4.83,RU,2021-12-12 21:19:54
114,Longyearbyen,78.2186,15.6401,31.84,80,75,10.36,SJ,2021-12-12 21:17:46
115,Honiara,-9.4333,159.95,81.48,86,100,4.56,SB,2021-12-12 21:19:54
116,Nyurba,63.2842,118.3319,-24.05,96,100,6.82,RU,2021-12-12 21:19:55
